ICS209,citation_link,date,time,unique_fact
31,https://twitter.com/CelinaDomEnergy/status/1168307504364888064,9/1/2019,7:39:00 PM,"KTSM's Satellite is showing, Hurricane Dorian's 'Eye' made landfall on Marsh Harbour around 10 a.m. taking more than 7 hours to move through. Next hit for the eye, Freeport.  Dorian its self is 65 miles away from Florida."
28,https://twitter.com/OfficialJoelF/status/1168312149527138306,9/1/2019,7:58:00 PM,"""8 PM UPDATE: Hurricane Dorian maintains same max wind speed of 185 MPH. Still moving west at 5 MPH.  NHC forecasts move west to west-northwest will occur over next 1-2 days. After that, a turn northwest is expected. Here’s a satellite loop of Dorian"""
34,https://www.facebook.com/bestfriendsanimalsociety/posts/pfbid0LiKZGT47RuX9dR3ZFSMgE46yc6RihKEee3o9dxrBrS7dYbGkm6NLFiHC5e6ZokAal,9/1/2019,8:23:00 PM,"Thanks to shelters and volunteers working together all across the east coast, hundreds of animals are being transported out of harm's way — just like these animals leaving Charleston Animal Society to rescues further north or inland"
32,https://www.washingtonpost.com/weather/2019/09/01/catastrophic-hurricane-dorian-unleashes-devastating-blow-northern-bahamas-takes-aim-southeast-us/?fbclid=IwAR0yPS7LnBz5erjxS2E1253SrT6fBtQ-y554vOpqUTcwIHAR9jqujqSMjeQ,9/1/2019,11:20:00 PM,The hurricane warning stretches from Jupiter Inlet (just north of West Palm Beach) to the Volusia/Brevard county line (just north of Titusville).
36,https://www.washingtonpost.com/weather/2019/09/01/catastrophic-hurricane-dorian-unleashes-devastating-blow-northern-bahamas-takes-aim-southeast-us/?fbclid=IwAR0yPS7LnBz5erjxS2E1253SrT6fBtQ-y554vOpqUTcwIHAR9jqujqSMjeQ,9/1/2019,11:20:00 PM,"In addition to the wind and surge, about to three to six inches of rain is projected along Florida’s east coast."
28,https://www.washingtonpost.com/weather/2019/09/01/catastrophic-hurricane-dorian-unleashes-devastating-blow-northern-bahamas-takes-aim-southeast-us/?fbclid=IwAR0yPS7LnBz5erjxS2E1253SrT6fBtQ-y554vOpqUTcwIHAR9jqujqSMjeQ,9/1/2019,11:20:00 PM,"As of 11 p.m., the storm was 55 miles east of Freeport on Grand Bahama Island and was crawling west at 5 mph. The storm’s peak winds were 180 mph, and Dorian has maintained Category 4 and now Category 5 intensity for an unusually long period."
36,https://www.washingtonpost.com/weather/2019/09/01/catastrophic-hurricane-dorian-unleashes-devastating-blow-northern-bahamas-takes-aim-southeast-us/?fbclid=IwAR0yPS7LnBz5erjxS2E1253SrT6fBtQ-y554vOpqUTcwIHAR9jqujqSMjeQ,9/1/2019,11:20:00 PM,"Because the storm is predicted to be a slow mover, effects from wind, rain and storm surge could be prolonged, lingering through the middle of next week on Florida’s east coast."
28,https://www.washingtonpost.com/weather/2019/09/01/catastrophic-hurricane-dorian-unleashes-devastating-blow-northern-bahamas-takes-aim-southeast-us/?fbclid=IwAR0yPS7LnBz5erjxS2E1253SrT6fBtQ-y554vOpqUTcwIHAR9jqujqSMjeQ,9/1/2019,11:20:00 PM,"The storm’s peak sustained winds rank as the strongest so far north in the Atlantic Ocean east of Florida on record. Its pressure, which bottomed out at 910 millibars, is significantly lower than Hurricane Andrew’s when it made landfall in south Florida in 1992 (the lower the pressure, the stronger the storm)."
38,https://fb.watch/i-9MEwR9Ks/,9/2/2019,8:15:00 AM,A mayor in Florida gives a rallying cry as Hurricane Dorian is expected to creep towards the US state later today. The storm is the strongest anywhere on the planet this year
38,https://arstechnica.com/science/2019/09/hurricane-dorian-is-going-to-come-very-very-close-to-florida/,9/2/2019,9:15:00 AM,"Another significant problem is that high pressure to the north of Dorian has weakened during the last 24 hours, causing the storm's steering currents to collapse."
40,https://arstechnica.com/science/2019/09/hurricane-dorian-is-going-to-come-very-very-close-to-florida/,9/2/2019,9:15:00 AM,"Such a track would be similar to Hurricane Matthew in 2016, with similar or worse damages depending on Dorian's track. Matthew caused an estimated $10 billion in damage to the United States, along with 34 direct fatalities, according to the National Hurricane Center's official report on the storm."
36,https://arstechnica.com/science/2019/09/hurricane-dorian-is-going-to-come-very-very-close-to-florida/,9/2/2019,9:15:00 AM,Dorian's center could approach or briefly make landfall in Georgia or the Carolinas.
35,https://www.facebook.com/reel/2359066991000866,9/2/2019,1:30:00 PM,"All vehicles are fully underwater at the Police Headquarters in Freeport, Grand Bahama"
35,https://fb.watch/i-aM-4fTJw/,9/2/2019,1:47:00 PM,"""That’s my kitchen window that water is hitting, and that has to be a minimum of about 20 feet above the ground."" Bahamas Minister for Agriculture Michael Pintard describes flooding from Hurricane Dorian at his house in Grand Bahama"
