row_id,ICS209,sentence_summary,citation_link,platform,date,time,UNIQUE FACTS 
257,34,Among the Minnesotans headed for the southeastern U.S. this week to assist in the response to Hurricane Florence will be a Burnsville-based Jewish relief group that specializes in helping people save their homes after a disaster,https://twitter.com/MPRnews/status/1040389413128175617?s=20,Twitter,9/13/2018,7:59:00 PM,Among the Minnesotans headed for the southeastern U.S. this week to assist in the response to Hurricane Florence will be a Burnsville-based Jewish relief group that specializes in helping people save their homes after a disaster
218,28,VIDEO: Hurricane Florence floods streets in Carolina Beach,https://www.facebook.com/WNCNTV/videos/313340869473878,Facebook,9/13/2018,8:14:00 PM,VIDEO: Hurricane Florence floods streets in Carolina Beach
222,30,WFMY News 2 - Video of Hurricane Florence Pounding Topsail Island,https://fb.watch/iZTyni_ZnQ/,Facebook,9/13/2018,9:15:00 PM,WFMY News 2 - Video of Hurricane Florence Pounding Topsail Island
263,30,Video of High Tide in Avon (NC) before Hurricane Florence hit,https://www.facebook.com/ABC7NY/videos/1880869645334984,Facebook,9/14/2018,12:00:00 AM,Video of High Tide in Avon (NC) before Hurricane Florence hit
270,38,The Weather Channel post with updated news forcast image,https://twitter.com/weatherchannel/status/1040480660698357760,Twitter,9/14/2018,2:01:00 AM,
264,35,Good Morning America video clip of newscasters taking shelter,https://fb.watch/iW1wOZA6c7/,Facebook,9/14/2018,7:22:00 AM,
271,28,"landfall near Wrightsville Beach, North Carolina at 7:15 AM EDT (1115 UTC) with estimated maximum winds of 90 mph (150 km/h), and a minimum central pressure estimate of 958 mb ",https://twitter.com/NHC_Atlantic/status/1040565494179405824,Twitter,9/14/2018,7:38:00 AM,"landfall near Wrightsville Beach, North Carolina at 7:15 AM EDT (1115 UTC) with estimated maximum winds of 90 mph (150 km/h), and a minimum central pressure estimate of 958 mb "
269,36,The Weather Channel 8 AM Advisory post,https://www.facebook.com/TheWeatherChannel/posts/pfbid022ojPKrdFCiJ1LzxFbNpwrRjEj5CjkuV1XQBvLkDj57AhjBWTS2fL3RyFS72sML2yl,Facebook,9/14/2018,8:18:00 AM,
261,32,WRAL recorded live news coverage of Hurricane Florence and hazzard information for people,https://www.facebook.com/WRALTV/videos/536019573510283,Facebook,9/14/2018,10:08:00 AM,
265,30,The Washington Channel across from The Wharf has caused flooding ahead of the minimal impacts of Hurricane Florence expected in DC. Coastal flooding watches have been issued. ,https://www.facebook.com/WUSA9/posts/pfbid0JBYHbtVWW9A2ZNLPkAA5WxnHH4AaXN1Yv3EEtDKrcsRpJnkNVsw6b5v9oR6FPe9Dl,Facebook,9/14/2018,1:01:00 PM,DC. Coastal flooding watches have been issued.
272,38,The Weather Channel post with 4 images of news coverage info on the hurricane,https://twitter.com/weatherchannel/status/1040664472581537793,Twitter,9/14/2018,2:11:00 PM,
268,32,Mother and baby killed by tree in Wilmington,https://fb.watch/iZQqmrZzQX/,Facebook,9/14/2018,3:17:00 PM,
266,30,"NBC News video clip of flooded Front St. in downtown Beaufort, NC",https://fb.watch/iW1RU7zziC/,Facebook,9/14/2018,3:23:00 PM,"NBC News video clip of flooded Front St. in downtown Beaufort, NC"
262,32,"FLORENCE 1st FATALITIES: A mom and an infant were killed after a large tree came crashing down on their home in North Carolina, becoming the first fatalities of Hurricane Florence, according to police",https://fb.watch/iZQ8T5gdSl/,Facebook,9/14/2018,3:57:00 PM,"FLORENCE 1st FATALITIES: A mom and an infant were killed after a large tree came crashing down on their home in North Carolina, becoming the first fatalities of Hurricane Florence, according to police"
267,38,WXII 12 NEWS 2 hour news coverage livestream,https://fb.watch/iW3Nl5TTXL/,Facebook,9/14/2018,4:01:00 PM,
287,28,"Meteorologists cut broadcast, evacuate news station during Hurricane Florence",https://twitter.com/thehill/status/1040735725518561285?s=20,Twitter,9/14/2018,6:55:00 PM,"Meteorologists cut broadcast, evacuate news station during Hurricane Florence"
289,36,"Residents throughout North and South Carolina, where the heaviest impacts of the storm are expected to be felt",https://twitter.com/ABC/status/1040735753750413314?s=20,Twitter,9/14/2018,6:55:00 PM,
292,35,Hurricane #Florence: Important dos and don'ts to remember during the monster storm,https://twitter.com/InsideEdition/status/1040736955879682048?s=20,Twitter,9/14/2018,7:00:00 PM,
285,36,"Hurricane Florence dumps hazardous amounts of rain, many wonder if the flooding could cause a disaster around the area's nuclear power plants",https://twitter.com/NatGeo/status/1040738234026868737?s=20,Twitter,9/14/2018,7:05:00 PM,
286,28,#Hurricane #Florence's landfall pressure of 958 hPa,https://twitter.com/philklotzbach/status/1040739006261022720?s=20,Twitter,9/14/2018,7:08:00 PM,#Hurricane #Florence's landfall pressure of 958 hPa
281,32,"Firefighters in Wilmington, NC pray after mother and her 8-month-old baby were killed when a tree fell on their home. At least five people have now died because of Hurricane #Florence https://",https://twitter.com/wsvn/status/1040739403566596096?s=20,Twitter,9/14/2018,7:09:00 PM,
282,34,Several of our schools are being used as Hurricane Florence evacuee shelters. We are so happy to open our doors and arms to neighbors in need,https://twitter.com/CharMeckSchools/status/1040740082523758597?s=20,Twitter,9/14/2018,7:12:00 PM,Several of our schools are being used as Hurricane Florence evacuee shelters. We are so happy to open our doors and arms to neighbors in need
288,30,Hurricane Florence wreaks havoc on the Carolinas' coastline,https://twitter.com/ABC/status/1040740499911528453?s=20,Twitter,9/14/2018,7:14:00 PM,
291,36,Hurricane Florence’s storm surge is expected to hit homes that already cost the government millions,https://twitter.com/lisalsong/status/1040744474593374209?s=20,Twitter,9/14/2018,7:29:00 PM,
